companyname companyname firstname_lastname
Lockheed_Martin Bristol-Myers_Squibb Vance_D._Coffman
J.P._Morgan_Chase Bristol-Myers_Squibb Ellen_V._Futter
American_International_Group Bristol-Myers_Squibb Ellen_V._Futter
Intl._Business_Machines Bristol-Myers_Squibb Louis_V._Gerstner,_Jr.
Coca-Cola Bristol-Myers_Squibb James_D._Robinson_III
Georgia-Pacific Bristol-Myers_Squibb Louis_W._Sullivan
Tosco Phillips_Petroleum Thomas_D._O'Malley
Procter_and_Gamble Phillips_Petroleum Norman_R._Augustine
Lockheed_Martin Phillips_Petroleum Norman_R._Augustine
AMR Phillips_Petroleum David_L._Boren
Honeywell_International Walgreen James_J._Howard
Target UnitedHealth_Group James_A._Johnson
Goldman_Sachs_Group UnitedHealth_Group James_A._Johnson
Intl._Business_Machines Coca-Cola Cathleen_Black
Berkshire_Hathaway Coca-Cola Warren_E._Buffett
AT*T Coca-Cola Donald_F._McHenry
International_Paper Coca-Cola Donald_F._McHenry
FleetBoston_Financial Coca-Cola Donald_F._McHenry
General_Electric Coca-Cola Sam_Nunn
Texaco Coca-Cola Sam_Nunn
Dell_Computer Coca-Cola Sam_Nunn
Bristol-Myers_Squibb Coca-Cola James_D._Robinson_III
Lehman_Brothers_Holdings PepsiCo John_F._Akers
Target PepsiCo Roger_A._Enrico
Bristol-Myers_Squibb PepsiCo Robert_E._Allen
Fannie_Mae PepsiCo Franklin_D._Raines
Pfizer PepsiCo Franklin_D._Raines
Citigroup PepsiCo Franklin_A._Thomas
Lucent_Technologies PepsiCo Franklin_A._Thomas
Conoco PepsiCo Franklin_A._Thomas
Alcoa PepsiCo Franklin_A._Thomas
Bank_of_America_Corp. PepsiCo Solomon_D._Trujillo
Target PepsiCo Solomon_D._Trujillo
Dynegy Sara_Lee C._Steven_McMillan
Lucent_Technologies Sara_Lee Paul_A._Allaire
Bank_of_America_Corp. Sara_Lee Charles_W._Coker
Bank_One_Corp. Sara_Lee James_S._Crown
Kmart Sara_Lee Willie_D._Davis
Dow_Chemical Sara_Lee Willie_D._Davis
J.C._Penney Sara_Lee Vernon_E._Jordan,_Jr.
American_Express Sara_Lee Vernon_E._Jordan,_Jr.
The_Boeing_Company Sara_Lee Rozanne_L._Ridgway
AT*T Sara_Lee John_D._Zeglis
Georgia-Pacific Sara_Lee John_D._Zeglis
Wells_Fargo Supervalu Michael_W._Wright
Honeywell_International Supervalu Michael_W._Wright
Wells_Fargo Supervalu Susan_E._Engel
Sears_Roebuck AMR Donald_J._Carty
Dell_Computer AMR Donald_J._Carty
Phillips_Petroleum AMR David_L._Boren
